ID	GENE_SYMBOL	ENSEMBL_ID
(+)E1A_r60_1		
(+)E1A_r60_3		
(+)E1A_r60_a104		
(+)E1A_r60_a107		
(+)E1A_r60_a135		
(+)E1A_r60_a20		
(+)E1A_r60_a22		
(+)E1A_r60_a97		
(+)E1A_r60_n11		
(+)E1A_r60_n9		
(-)3xSLv1		
A_23_P100001	FAM174B	ENST00000557398
A_23_P100022	SV2B	ENST00000557410
A_23_P100056	RBPMS2	ENST00000300069
A_23_P100074	AVEN	ENST00000306730
A_23_P100127	CASC5	ENST00000260369
A_23_P100141	UNKL	ENST00000397464
A_23_P100189	PRM1	ENST00000312511
A_23_P100196	USP10	ENST00000219473
A_23_P100203	HSBP1	ENST00000433866
A_23_P100220	ESRP2	ENST00000251366
A_23_P100240	CDH16	
A_23_P10025	NELL2	
A_23_P100292	ZNF598	
A_23_P100315	DECR2	ENST00000439661
A_23_P100326	NPRL3	
A_23_P100344	ORC6	ENST00000219097
A_23_P100355	PPP4C	ENST00000279387
A_23_P100386	IL34	ENST00000429149
A_23_P100392	TCEB2	ENST00000409906
A_23_P100420	ZCCHC14	ENST00000268616
A_23_P100441	FAM192A	ENST00000309137
A_23_P100455	MTHFSD	
A_23_P100486	VKORC1	ENST00000394975
A_23_P100499	ROGDI	ENST00000322048
A_23_P100501	HMOX2	
A_23_P100517	TMEM170A	
A_23_P100539	ABCC6	ENST00000205558
A_23_P100583	LPO	ENST00000543544
A_23_P100602	TBCD	ENST00000539345
A_23_P10062	MGAT4C	ENST00000548651
A_23_P100632	HN1	ENST00000481647
A_23_P100642	PNMT	ENST00000394246
A_23_P100654	ZBTB4	ENST00000380599
A_23_P100660	SERPINF1	ENST00000254722
A_23_P100676	SMG6	ENST00000544865
A_23_P100704	MAPK7	
A_23_P100711	PMP22	ENST00000312280
A_23_P100730	SKAP1	ENST00000336915
A_23_P100764	SLC25A39	ENST00000537904
A_23_P10077	PNPLA2	ENST00000529255
A_23_P100795	STAT3	ENST00000264657
A_23_P10081	ARL13B	
A_23_P100868	MYO19	
A_23_P100883	SUZ12	ENST00000322652
A_23_P100912	GIT1	ENST00000394869
A_23_P100963	SPNS3	ENST00000355530
A_23_P100991	KRT38	
A_23_P101013	TMC6	ENST00000392467
A_23_P101038	KRTAP9-3	ENST00000411528
A_23_P101048	KRTAP3-2	ENST00000391587
A_23_P101054	KRT34	ENST00000251648
A_23_P101073	OR1E1	ENST00000322608
A_23_P101084	SPATA22	
A_23_P101093	COPZ2	ENST00000006101
A_23_P101111	CTDP1	ENST00000075430
A_23_P101131	GRP	ENST00000256857
A_23_P101185	NARS	ENST00000256854
A_23_P101208	CYB5A	ENST00000494131
A_23_P10121	SFRP1	ENST00000220772
A_23_P101237	C18orf21	ENST00000333234
A_23_P101246	VSIG10L	ENST00000335624
A_23_P101281	ZNF587	ENST00000339656
A_23_P101297	EML2	
A_23_P101319	ZNF285	
A_23_P101332	KRI1	ENST00000478863
A_23_P101342	ATG4D	ENST00000309469
A_23_P10135	NKIRAS2	
A_23_P101351	ZNF426	ENST00000535489
A_23_P101374	CYP2S1	ENST00000310054
A_23_P101380	B3GNT8	ENST00000321702
A_23_P101392	TMEM38A	ENST00000187762
A_23_P1014	LINC00467	
A_23_P101407	C3	ENST00000467528
A_23_P101434	NLRP12	ENST00000391773
A_23_P101461	CCDC130	ENST00000221554
A_23_P101476	ZNF442	ENST00000242804
A_23_P101480	MAST1	ENST00000251472
A_23_P101505	KLK11	
A_23_P101516	KCNC3	ENST00000443843
A_23_P101521	IZUMO2	ENST00000486050
A_23_P101532	RPS11	ENST00000270625
A_23_P101551	BCAT2	
A_23_P10156	CHMP6	ENST00000325167
A_23_P101564	FGF21	ENST00000222157
A_23_P101615	ZNF565	ENST00000355114
A_23_P101623	ZNF667	ENST00000360227
A_23_P101642	PTPRH	ENST00000376350
A_23_P101655	ACTN4	ENST00000445727
A_23_P101671	ATCAY	ENST00000450849
A_23_P101683	CLC	ENST00000221804
A_23_P101699	HDGFRP2	ENST00000301284
A_23_P101707	PLIN3	ENST00000221957
A_23_P10172	PRSS50	ENST00000460241
A_23_P101737	DOT1L	ENST00000398665
A_23_P101742	MRPL54	ENST00000330133
A_23_P101774	SLC5A5	ENST00000222248
A_23_P101796	SYDE1	ENST00000342784
A_23_P101811	ZNF14	ENST00000344099
A_23_P10182	ACOX2	ENST00000460921
A_23_P101829	LPAR2	ENST00000542587
A_23_P101871	FBXO17	ENST00000292852
A_23_P101905	APC2	ENST00000233607
A_23_P10194	SEZ6L2	
A_23_P101950	MDH1	ENST00000539945
A_23_P101960	ZFP36L2	ENST00000282388
A_23_P101972	CAPN13	ENST00000534090
A_23_P101992	MARCO	ENST00000541757
A_23_P102000	CXCR4	ENST00000241393
A_23_P102017	ERMN	ENST00000397283
A_23_P102037	COQ10B	ENST00000545340
A_23_P102058	MATN3	ENST00000407540
A_23_P10206	HAS2	
A_23_P102060	SSFA2	ENST00000491720
A_23_P102083	BOLL	ENST00000433157
A_23_P102109	TUBA4A	ENST00000490341
A_23_P102117	WNT10A	ENST00000258411
A_23_P102122	ARPC2	ENST00000470146
A_23_P102172	CPO	ENST00000272852
A_23_P102202	MSH6	ENST00000543270
A_23_P102235	SNRPG	ENST00000429728
A_23_P102242	MARCH7	ENST00000409175
A_23_P102258	MRPL53	ENST00000468875
A_23_P102262	MRPL19	ENST00000393909
A_23_P102286	LHCGR	ENST00000401907
A_23_P10232	BANK1	ENST00000322953
A_23_P102320	NUP35	ENST00000479162
A_23_P102331	SCN7A	ENST00000409855
A_23_P102351	CHST10	ENST00000264249
A_23_P102364	NGEF	ENST00000264051
A_23_P102391	SLC40A1	ENST00000544056
A_23_P102404	CCT7	
A_23_P102412	PLEKHA3	ENST00000234453
A_23_P102420	CCT4	ENST00000544079
A_23_P102462	FBLN7	ENST00000331203
A_23_P102471	MSH2	ENST00000543555
A_23_P102508	SLC5A6	ENST00000488743
A_23_P102517	PDE6D	ENST00000287600
A_23_P102542	AFTPH	ENST00000422803
A_23_P102571	SLC2A4RG	ENST00000266077
A_23_P102582	C20orf24	
A_23_P102607	CHD6	ENST00000373222
A_23_P102611	WISP2	ENST00000372868
A_23_P102634	WFDC6	ENST00000372670
A_23_P102681	MGC4294	
A_23_P102694	DEFB129	ENST00000246105
A_23_P102706	SNPH	ENST00000381867
A_23_P102731	SMOX	
A_23_P102770	NAA20	ENST00000334982
A_23_P102832	CEP250	ENST00000342580
A_23_P102842	NFS1	ENST00000440385
A_23_P102864	TMPRSS15	ENST00000284885
A_23_P102876	CCT8	ENST00000542732
A_23_P102890	MRPS6	ENST00000483977
A_23_P1029	MFAP2	
A_23_P10291	CTSE	ENST00000360218
A_23_P102919	B3GALT5	
A_23_P102925	PWP2	ENST00000291576
A_23_P102937	SUMO3	ENST00000332859
A_23_P102950	RSPH1	ENST00000493019
A_23_P102965	BCL2L13	ENST00000498133
A_23_P102988	TXNRD2	ENST00000471149
A_23_P103011	RAB36	ENST00000263116
A_23_P103034	CRYBA4	ENST00000466315
A_23_P10305	CTPS2	ENST00000380207
A_23_P103070	YWHAH	ENST00000248975
A_23_P103099	RBFOX2	
A_23_P103104	MFNG	ENST00000356998
A_23_P103110	MAFF	
A_23_P103131	SMCR7L	ENST00000404569
A_23_P103149	ACO2	ENST00000544234
A_23_P103201	PNRC2	ENST00000400776
A_23_P103226	FAAH	ENST00000493636
A_23_P103256	CFHR3	ENST00000367427
A_23_P103276	KTI12	ENST00000371614
A_23_P103282	TMEM59	ENST00000470395
A_23_P103310	S100A7	ENST00000368723
A_23_P103328	PTGER3	
A_23_P103349	OCLM	
A_23_P103361	LCK	ENST00000469765
A_23_P103371	ADC	ENST00000341637
A_23_P103398	PSEN2	ENST00000366783
A_23_P103414	YTHDF2	ENST00000542507
A_23_P103424	RGS8	ENST00000367556
A_23_P103433	OSCP1	ENST00000471369
A_23_P103442	MEAF6	ENST00000487788
A_23_P103465	PLA2G5	ENST00000465698
A_23_P103476	UBIAD1	ENST00000376810
A_23_P103486	CYP2J2	ENST00000469406
A_23_P103503	MDM4	
A_23_P103511	C1orf226	ENST00000458626
A_23_P103532	GPR161	ENST00000493800
A_23_P103588	HMGCS2	ENST00000544913
A_23_P103601	MAN1C1	ENST00000263979
A_23_P103617	ANXA9	ENST00000368947
A_23_P103628	HEATR1	ENST00000366581
A_23_P103631	EBNA1BP2	ENST00000236051
A_23_P103661	YY1AP1	
A_23_P103672	NES	ENST00000368223
A_23_P103690	FAM189B	ENST00000487649
A_23_P103703	HSPB7	ENST00000375714
A_23_P103720	AGMAT	ENST00000375826
A_23_P10374	R3HDM2	ENST00000358907
A_23_P103756	OVGP1	ENST00000434331
A_23_P103765	FCER1A	ENST00000368115
A_23_P103775	LRRC8C	ENST00000370454
A_23_P103803	FCRL3	ENST00000368186
A_23_P103812	FAM5C	ENST00000534846
A_23_P103837	UBAP2L	ENST00000475373
A_23_P10385	DTL	ENST00000475419
A_23_P103864	TTC13	ENST00000414259
A_23_P103877	LRRC38	ENST00000376085
A_23_P103897		ENST00000431031
A_23_P103905	UFC1	ENST00000467540
A_23_P103919	B4GALT3	ENST00000367998
A_23_P103932	FGR	ENST00000374004
A_23_P103942	DNAJC11	ENST00000377577
A_23_P103968	AKR7A3	ENST00000361640
A_23_P103971	CYP4Z1	ENST00000334194
A_23_P104025	TSEN15	ENST00000462677
A_23_P104046	BPNT1	ENST00000302686
A_23_P104054	C1orf9	ENST00000367723
A_23_P104073	S100A3	ENST00000368712
A_23_P104098	SYT2	ENST00000367267
A_23_P104109	RPS6KC1	
A_23_P104116	RBM8A	ENST00000369307
A_23_P104146	ZMYM4	ENST00000373297
A_23_P104151	TMEM69	ENST00000496366
A_23_P104188	ELF3	ENST00000475698
A_23_P104199	ITGB1	ENST00000494395
A_23_P104201	YME1L1	ENST00000375969
A_23_P104224	A1CF	
A_23_P1043	C1orf106	ENST00000465162
A_23_P104318	DDIT4	ENST00000307365
A_23_P104323	MGMT	
A_23_P104362	ECHS1	ENST00000368547
A_23_P104372	DNAJC9	ENST00000372950
A_23_P104413	DUX4	
A_23_P10442	OSBPL1A	ENST00000319481
A_23_P104438	MYPN	ENST00000354393
A_23_P104464	ALOX5	ENST00000374391
A_23_P104471	DUSP13	
A_23_P104509	FAM53B	ENST00000494792
A_23_P104563	CPT1A	ENST00000539743
A_23_P10458	C22orf26	ENST00000333761
A_23_P104583	CORO1B	ENST00000537042
A_23_P104594	SCT	ENST00000176195
A_23_P104607	PSMC3	ENST00000298852
A_23_P104617	GYLTL1B	ENST00000530437
A_23_P10463	NDUFS5	ENST00000372969
A_23_P104641	C11orf2	ENST00000534591
A_23_P104651	CDCA5	ENST00000275517
A_23_P104689	RELA	
A_23_P104692	PELI3	
A_23_P104705	SLC29A2	ENST00000546034
A_23_P104734	STT3A	ENST00000525946
A_23_P104741	KIRREL3	ENST00000525144
A_23_P104762	YAP1	
A_23_P104798	IL18	ENST00000528832
A_23_P104804	ZBTB16	ENST00000539918
A_23_P104819	TREH	ENST00000531295
A_23_P104865		
A_23_P104876	SPA17	ENST00000524614
A_23_P104892	EIF4G2	ENST00000396525
A_23_P104942	TMX2	
A_23_P10497	ATP9B	ENST00000543761
A_23_P104972	MS4A5	ENST00000300190
