"cohort","gene","g","se"
"GSE209746","VAX1",NA,NA
"GSE209746","REG3A",-0.509678996919823,0.234124398585253
"GSE209746","IGF2",-0.292798090103413,0.232073177072602
"GSE209746","NHLH2",NA,NA
"GSE209746","SOX2",NA,NA
"GSE209746","KLK6",-0.517031978933261,0.234212967538345
"GSE209746","L1CAM",-0.470591879634763,0.233674360478846
"GSE209746","INHBB",-0.724168532953734,0.237209486571691
"GSE209746","CPS1",0.434425034388109,0.233289225538766
"GSE209746","ALOX12B",0.788322598235991,0.238330623033381
"GSE209746","TDRD1",0.622874466157189,0.235623914706316
"GSE209746","UNC13A",0.720715256306012,0.237151692437423
"GSE209746","TENM1",0.71023862660702,0.236977960875073
"GSE209746","ADCY2",0.795416996191226,0.238460102271118
"GSE209746","ZNF300",0.759724868332521,0.237819764911321
"GSE35452","VAX1",NA,NA
"GSE35452","REG3A",-0.337922071166888,0.297353057539052
"GSE35452","IGF2",-0.0448954662004906,0.295201823672305
"GSE35452","NHLH2",0.376024432007398,0.297872399468547
"GSE35452","SOX2",-0.219684741363673,0.296090589106509
"GSE35452","KLK6",-0.44893555249411,0.299017516151568
"GSE35452","L1CAM",0.192428884531006,0.295874964805246
"GSE35452","INHBB",-0.674123242767095,0.303785001969573
"GSE35452","CPS1",-0.45382218157878,0.299101328968044
"GSE35452","ALOX12B",0.0978876764784987,0.295347419919495
"GSE35452","TDRD1",-0.329262468267215,0.297242639630489
"GSE35452","UNC13A",-0.430853934179913,0.298715085051127
"GSE35452","TENM1",0.0483799997006442,0.295208079370177
"GSE35452","ADCY2",0.048326668034468,0.295207980104127
"GSE35452","ZNF300",-0.427647929119277,0.298662728180032
"GSE87211","VAX1",0.172238720354996,0.186101096088922
"GSE87211","REG3A",-0.111764454591446,0.185985700409466
"GSE87211","IGF2",0.0215223553636575,0.185904842736749
"GSE87211","NHLH2",-0.00162126922336566,0.185901745808933
"GSE87211","SOX2",0.18579254267454,0.186133687697332
"GSE87211","KLK6",-0.303696973147759,0.186520862512139
"GSE87211","L1CAM",-0.159175976976151,0.186072015635453
"GSE87211","INHBB",-0.455797343750256,0.187293434401606
"GSE87211","CPS1",0.251984184917167,0.18632818519254
"GSE87211","ALOX12B",0.211655995925535,0.186202707217302
"GSE87211","TDRD1",-0.0493191829999182,0.185918082708632
"GSE87211","UNC13A",-0.151720717315359,0.186056444294953
"GSE87211","TENM1",NA,NA
"GSE87211","ADCY2",-0.0834467442121281,0.185948543746176
"GSE87211","ZNF300",0.0852166579411403,0.185950550471089
"GSE150082","VAX1",0.0449216894734225,0.325584905323895
"GSE150082","REG3A",-0.351324611396705,0.328094833993962
"GSE150082","IGF2",-0.208749042314472,0.326446209861036
"GSE150082","NHLH2",-0.407634123289169,0.328973770473721
"GSE150082","SOX2",0.187877536115778,0.326274823492296
"GSE150082","KLK6",-0.0804535240456966,0.32567734144103
"GSE150082","L1CAM",-0.368150860701377,0.328344050781423
"GSE150082","INHBB",0.132394886429501,0.325906629604672
"GSE150082","CPS1",0.131466354510426,0.325901550105286
"GSE150082","ALOX12B",0.0551594313132541,0.325606167914441
"GSE150082","TDRD1",0.0228645967368454,0.325553875105758
"GSE150082","UNC13A",-0.57472085630922,0.332327894231159
"GSE150082","TENM1",NA,NA
"GSE150082","ADCY2",0.386537121202089,0.328629468715621
"GSE150082","ZNF300",0.0746942847781255,0.325658802971851
"GSE45404","VAX1",NA,NA
"GSE45404","REG3A",0.425001496072237,0.31363620360655
"GSE45404","IGF2",0.00283272721111582,0.310016032039033
"GSE45404","NHLH2",-0.157455145145557,0.310515283603068
"GSE45404","SOX2",0.0551186551242227,0.31007711241515
"GSE45404","KLK6",-0.121116596040837,0.31031146480575
"GSE45404","L1CAM",0.0813949321422282,0.310149405938757
"GSE45404","INHBB",-0.818921646040652,0.323253380641808
"GSE45404","CPS1",0.582782805147161,0.316789026469705
"GSE45404","ALOX12B",-0.196296907204097,0.310791724092128
"GSE45404","TDRD1",0.244450674827219,0.311218237692181
"GSE45404","UNC13A",-0.751470663291196,0.321198835286299
"GSE45404","TENM1",0.299918257610408,0.311824031839328
"GSE45404","ADCY2",-0.168271410102714,0.310586188778828
"GSE45404","ZNF300",0.389379771670399,0.313057578408924
