"cohort","feature","spearman"
"GSE209746","IFNG_Ayers6",0.740503118379039
"GSE209746","Interferon Alpha/Beta Signaling R-HSA-909733",0.958819492107069
"GSE209746","Interferon Gamma Signaling R-HSA-877300",0.890767210766614
"GSE35452","IFNG_Ayers6",0.66327474560592
"GSE35452","Interferon Alpha/Beta Signaling R-HSA-909733",0.861732963305581
"GSE35452","Interferon Gamma Signaling R-HSA-877300",0.85100215849522
"GSE87211","IFNG_Ayers6",0.770193076950515
"GSE87211","Interferon Alpha/Beta Signaling R-HSA-909733",0.920355302937102
"GSE87211","Interferon Gamma Signaling R-HSA-877300",0.858478664571111
"GSE150082","IFNG_Ayers6",0.714777327935223
"GSE150082","Interferon Alpha/Beta Signaling R-HSA-909733",0.979554655870445
"GSE150082","Interferon Gamma Signaling R-HSA-877300",0.866396761133603
"GSE45404","IFNG_Ayers6",0.82886313912973
"GSE45404","Interferon Alpha/Beta Signaling R-HSA-909733",0.94538530102909
"GSE45404","Interferon Gamma Signaling R-HSA-877300",0.807957215784782
"GSE119409","IFNG_Ayers6",0.574641148325359
"GSE119409","Interferon Alpha/Beta Signaling R-HSA-909733",0.930348598769651
"GSE119409","Interferon Gamma Signaling R-HSA-877300",0.734518113465482
"GSE133057","IFNG_Ayers6",0.633021390374332
"GSE133057","Interferon Alpha/Beta Signaling R-HSA-909733",0.857286096256685
"GSE133057","Interferon Gamma Signaling R-HSA-877300",0.808489304812834
"GSE53781","IFNG_Ayers6",0.659487179487179
"GSE53781","Interferon Alpha/Beta Signaling R-HSA-909733",0.77025641025641
"GSE53781","Interferon Gamma Signaling R-HSA-877300",0.855726495726496
"GSE94104","IFNG_Ayers6",0.792870544090056
"GSE94104","Interferon Alpha/Beta Signaling R-HSA-909733",0.751969981238274
"GSE94104","Interferon Gamma Signaling R-HSA-877300",0.728893058161351
