"cohort","feature","g","se"
"GSE209746","IFNG_Ayers6",-0.109295594613018,0.231198067378629
"GSE209746","Interferon Alpha/Beta Signaling R-HSA-909733",0.249320486407974,0.231793990281709
"GSE209746","Interferon Gamma Signaling R-HSA-877300",0.0764034120865532,0.231125476028444
"GSE209746","CXCL9",-0.0802727012160638,0.2311326817587
"GSE209746","CXCL10",0.038977803076971,0.23107414227573
"GSE209746","IDO1",-0.0537405548510101,0.231090415178284
"GSE209746","STAT1",0.0892944473814338,0.23115086421268
"GSE209746","IFNG",0.231489429054438,0.231692355541886
"GSE35452","IFNG_Ayers6",0.345517113955122,0.297452225780242
"GSE35452","Interferon Alpha/Beta Signaling R-HSA-909733",0.292857592625038,0.296809401579854
"GSE35452","Interferon Gamma Signaling R-HSA-877300",-0.073206602325803,0.295266171778085
"GSE35452","CXCL9",0.272658056653135,0.29659064769715
"GSE35452","CXCL10",0.45327051728443,0.29909182286674
"GSE35452","IDO1",0.357933138105575,0.297619013589918
"GSE35452","STAT1",0.51175182395738,0.300162012995224
"GSE35452","IFNG",0.120223279555058,0.295441124415017
"GSE87211","IFNG_Ayers6",0.530015815886798,0.187781107772453
"GSE87211","Interferon Alpha/Beta Signaling R-HSA-909733",0.373779901064269,0.186838783606679
"GSE87211","Interferon Gamma Signaling R-HSA-877300",0.574825530633252,0.188110375844061
"GSE87211","CXCL9",0.433843770454926,0.187163040065155
"GSE87211","CXCL10",0.460356834575317,0.18732131101766
"GSE87211","IDO1",0.539931123306074,0.187851714307618
"GSE87211","STAT1",0.539208637306594,0.18784652621193
"GSE87211","IFNG",0.567571087620844,0.188055297378942
"GSE150082","IFNG_Ayers6",0.461222208351615,0.329928682503007
"GSE150082","Interferon Alpha/Beta Signaling R-HSA-909733",0.980903563110883,0.344935620794457
"GSE150082","Interferon Gamma Signaling R-HSA-877300",0.800190361857039,0.338572039512946
"GSE150082","CXCL9",0.368104447065705,0.328343347573711
"GSE150082","CXCL10",0.563832267616616,0.332075742954573
"GSE150082","IDO1",0.437354835859606,0.329489173771158
"GSE150082","STAT1",0.751316095768423,0.337055356350719
"GSE150082","IFNG",0.389795402382262,0.328681472357607
"GSE45404","IFNG_Ayers6",0.773392316978677,0.321848622439889
"GSE45404","Interferon Alpha/Beta Signaling R-HSA-909733",0.198357936277941,0.310808080980835
"GSE45404","Interferon Gamma Signaling R-HSA-877300",0.419550895481151,0.313544457359194
"GSE45404","CXCL9",0.700437130261259,0.319753799015808
"GSE45404","CXCL10",0.750165414594932,0.321160694485819
"GSE45404","IDO1",0.551794630308004,0.316094615965525
"GSE45404","STAT1",0.706325059054728,0.319915658307064
"GSE45404","IFNG",0.26603146302355,0.311439398693252
"GSE119409","IFNG_Ayers6",0.346275052002508,0.303590439772602
"GSE119409","Interferon Alpha/Beta Signaling R-HSA-909733",0.684231196943386,0.308855693744908
"GSE119409","Interferon Gamma Signaling R-HSA-877300",0.61956709788644,0.307589338576598
"GSE119409","CXCL9",0.373300532149423,0.303886851944724
"GSE119409","CXCL10",0.462504955313359,0.305020600020065
"GSE119409","IDO1",0.268957439404759,0.302864173897013
"GSE119409","STAT1",0.685527504551573,0.308882308597378
"GSE119409","IFNG",0.179257715512856,0.302248972519687
"GSE133057","IFNG_Ayers6",-0.0626708308924273,0.356351548113872
"GSE133057","Interferon Alpha/Beta Signaling R-HSA-909733",-0.0391938823148882,0.356297423094664
"GSE133057","Interferon Gamma Signaling R-HSA-877300",0.147096135055525,0.356752106085495
"GSE133057","CXCL9",-0.0989811052757529,0.356484357627064
"GSE133057","CXCL10",0.0696618922149661,0.356372484285431
"GSE133057","IDO1",-0.302169600677135,0.358323543580293
"GSE133057","STAT1",-0.0150332336074582,0.356267767351927
"GSE133057","IFNG",-0.225333624162189,0.357410173948753
"GSE53781","IFNG_Ayers6",0.282305604318546,0.405167055418442
"GSE53781","Interferon Alpha/Beta Signaling R-HSA-909733",-0.265097814145542,0.404924809148376
"GSE53781","Interferon Gamma Signaling R-HSA-877300",-0.323370443206444,0.405805999512584
"GSE53781","CXCL9",0.759786451225226,0.417763775243294
"GSE53781","CXCL10",0.291049338281819,0.405295923711775
"GSE53781","IDO1",-0.151363746692252,0.403704486181123
"GSE53781","STAT1",0.0350084285960795,0.403144556116681
"GSE53781","IFNG",0.0531639387331915,0.403185916699253
"GSE94104","IFNG_Ayers6",-0.131738154523692,0.354429406259306
"GSE94104","Interferon Alpha/Beta Signaling R-HSA-909733",0.497824429457738,0.358681975520836
"GSE94104","Interferon Gamma Signaling R-HSA-877300",0.524632415714489,0.359184378247985
"GSE94104","CXCL9",-0.463420920887582,0.358074887679343
"GSE94104","CXCL10",-0.407218417127939,0.357174721425175
"GSE94104","IDO1",-0.189673876717371,0.35477488681246
"GSE94104","STAT1",-0.0665740713562244,0.35418945033251
"GSE94104","IFNG",0.285007412746533,0.355613069397207
