"cohort","method","n_genes","g","se"
"GSE209746","mean_z",221,0.235937545802453,0.23171700763257
"GSE209746","cor_vs_ssGSEA",221,0.969547312822655,NA
"GSE35452","mean_z",217,0.192830009567876,0.29587793243269
"GSE35452","cor_vs_ssGSEA",217,0.844218316373728,NA
"GSE87211","mean_z",216,0.491377888566612,0.187518220706562
"GSE87211","cor_vs_ssGSEA",216,0.958705715435892,NA
"GSE150082","mean_z",216,0.876226996066037,0.341106408320137
"GSE150082","cor_vs_ssGSEA",216,0.955263157894737,NA
"GSE45404","mean_z",217,0.436399332925392,0.313831793384856
"GSE45404","cor_vs_ssGSEA",217,0.969370391378332,NA
"GSE119409","mean_z",217,0.828512424488929,0.312110189157433
"GSE119409","cor_vs_ssGSEA",217,0.89419002050581,NA
"GSE133057","mean_z",215,-0.269803192756207,0.357906649661347
"GSE133057","cor_vs_ssGSEA",215,0.913101604278075,NA
"GSE53781","mean_z",134,0.196351530024729,0.404107914716247
"GSE53781","cor_vs_ssGSEA",134,0.673846153846154,NA
"GSE94104","mean_z",220,0.132906263240619,0.354435144373037
"GSE94104","cor_vs_ssGSEA",220,0.943527204502814,NA
