"cohort","treatment_scope","feature","n_high","responders_high","response_rate_high","n_rest","responders_rest","response_rate_rest","OR_fisher","fisher_p","logOR","se"
"GSE209746","nCRT","IFN",31,10,0.32258064516129,62,16,0.258064516129032,1.3642679120277,0.624930488773978,0.314115329519936,0.481516539751056
"GSE209746","nCRT","NK",31,11,0.354838709677419,62,15,0.241935483870968,1.71288310049442,0.327608179874969,0.544260399852228,0.478385151651301
"GSE209746","nCRT","Cyto",31,8,0.258064516129032,62,18,0.290322580645161,0.851708993977658,0.810404422896736,-0.162234798227217,0.496750530097748
"GSE35452","nCRT","IFN",16,10,0.625,30,14,0.466666666666667,1.87809789483903,0.364264764279402,0.644357016390513,0.632925934130715
"GSE35452","nCRT","NK",16,9,0.5625,30,15,0.5,1.27869913448047,0.762800785891924,0.251314428280906,0.622335590579221
"GSE35452","nCRT","Cyto",16,9,0.5625,30,15,0.5,1.27869913448047,0.762800785891924,0.251314428280906,0.622335590579221
"GSE87211","nCRT","IFN",68,15,0.220588235294118,134,20,0.149253731343284,1.6092528053585,0.239092809250597,0.478224462390593,0.379876981428896
"GSE87211","nCRT","NK",68,21,0.308823529411765,134,14,0.104477611940299,3.80087972371095,0.000629046127013882,1.34280924918015,0.385561341586048
"GSE87211","nCRT","Cyto",68,20,0.294117647058824,134,15,0.111940298507463,3.28367632615641,0.00268543522662319,1.19560455465542,0.381972985097818
"GSE150082","nCRT","IFN",13,8,0.615384615384615,26,8,0.307692307692308,3.47363243896625,0.0904557636220268,1.28093384546206,0.711024300256718
"GSE150082","nCRT","NK",13,9,0.692307692307692,26,7,0.269230769230769,5.78825759114423,0.0171633715767721,1.80945904632746,0.746056186165373
"GSE150082","nCRT","Cyto",13,6,0.461538461538462,26,10,0.384615384615385,1.36020222934464,0.736323642886491,0.315852949418477,0.687039889325074
"GSE45404","nCRT","IFN",14,9,0.642857142857143,28,10,0.357142857142857,3.14530820409467,0.106651021460159,1.17557332980424,0.683130051063973
"GSE45404","nCRT","NK",14,8,0.571428571428571,28,11,0.392857142857143,2.02453975630767,0.334878862692965,0.723000143709626,0.664378873074334
"GSE45404","nCRT","Cyto",14,9,0.642857142857143,28,10,0.357142857142857,3.14530820409467,0.106651021460159,1.17557332980424,0.683130051063973
"GSE119409","nCRT","IFN",19,9,0.473684210526316,37,6,0.162162162162162,4.50394789779703,0.0237384450650489,1.53686721959926,0.640340411261
"GSE119409","nCRT","NK",19,4,0.210526315789474,37,11,0.297297297297297,0.635344270040131,0.543125093854656,-0.461554574759208,0.667860236903872
"GSE119409","nCRT","Cyto",19,7,0.368421052631579,37,8,0.216216216216216,2.08469219386089,0.339230507641032,0.748857787573951,0.621025953411905
"GSE133057","nCRT","IFN",11,3,0.272727272727273,22,10,0.454545454545455,0.46081939583481,0.455860779287775,-0.798507696217772,0.801040989379861
"GSE133057","nCRT","NK",11,4,0.363636363636364,22,9,0.409090909090909,0.830182014527331,1,-0.191891007810105,0.762162273332478
"GSE133057","nCRT","Cyto",11,5,0.454545454545455,22,8,0.363636363636364,1.4414247884631,0.71361093646725,0.377294231141468,0.75039672047207
"GSE53781","nCRT","IFN",9,3,0.333333333333333,17,7,0.411764705882353,0.723500341559215,1,-0.336472236621213,0.861891607371335
"GSE53781","nCRT","NK",9,4,0.444444444444444,17,6,0.352941176470588,1.44479088179363,0.692448512585812,0.382992252256106,0.841175224062001
"GSE53781","nCRT","Cyto",9,3,0.333333333333333,17,7,0.411764705882353,0.723500341559215,1,-0.336472236621213,0.861891607371335
"GSE94104","nCRT","IFN",14,3,0.214285714285714,26,8,0.307692307692308,0.620932405112935,0.71517545209246,-0.488352767913932,0.777687584958111
"GSE94104","nCRT","NK",14,6,0.428571428571429,26,5,0.192307692307692,3.05182858485571,0.146821013313323,1.14740245283754,0.734360752141421
"GSE94104","nCRT","Cyto",14,3,0.214285714285714,26,8,0.307692307692308,0.620932405112935,0.71517545209246,-0.488352767913932,0.777687584958111
"GSE56699","neoadjuvant_radiotherapy","IFN",17,5,0.294117647058824,34,18,0.529411764705882,0.377695343966224,0.142509032314852,-0.993251773010283,0.63355259362494
"GSE56699","neoadjuvant_radiotherapy","NK",17,6,0.352941176470588,34,17,0.5,0.551960340528871,0.380973420668814,-0.606135803570316,0.612554337507528
"GSE56699","neoadjuvant_radiotherapy","Cyto",17,8,0.470588235294118,34,15,0.441176470588235,1.12330240595147,1,0.118605742407847,0.596162189949301
