"cohort","feature","n_genes_used","g","se"
"GSE209746","NK cells",97,0.336473875780688,0.232398300805323
"GSE209746","Cytotoxic lymphocytes",97,0.119484612594603,0.231225764789994
"GSE209746","cor_NK cells_vs_ssGSEA",97,0.885097430694399,NA
"GSE209746","cor_Cytotoxic lymphocytes_vs_ssGSEA",97,0.96496672734326,NA
"GSE35452","NK cells",109,-0.0643947429903379,0.295242838216416
"GSE35452","Cytotoxic lymphocytes",109,0.250325107988353,0.296366812918553
"GSE35452","cor_NK cells_vs_ssGSEA",109,0.927721245760099,NA
"GSE35452","cor_Cytotoxic lymphocytes_vs_ssGSEA",109,0.94745605920444,NA
"GSE87211","NK cells",101,0.505593364096761,0.187612670542453
"GSE87211","Cytotoxic lymphocytes",101,0.612870460445028,0.188410397873206
"GSE87211","cor_NK cells_vs_ssGSEA",101,0.796216207165897,NA
"GSE87211","cor_Cytotoxic lymphocytes_vs_ssGSEA",101,0.807304500761083,NA
"GSE150082","NK cells",101,0.493267531647401,0.330554492423191
"GSE150082","Cytotoxic lymphocytes",101,0.92312628254311,0.342773927504146
"GSE150082","cor_NK cells_vs_ssGSEA",101,0.951619433198381,NA
"GSE150082","cor_Cytotoxic lymphocytes_vs_ssGSEA",101,0.770647773279352,NA
"GSE45404","NK cells",109,-0.0160084336801772,0.310021036691536
"GSE45404","Cytotoxic lymphocytes",109,0.494184096248457,0.314900879371978
"GSE45404","cor_NK cells_vs_ssGSEA",109,0.971315128433676,NA
"GSE45404","cor_Cytotoxic lymphocytes_vs_ssGSEA",109,0.98184912081679,NA
"GSE119409","NK cells",109,-0.0509763165546408,0.301796241759128
"GSE119409","Cytotoxic lymphocytes",109,0.305300055989721,0.303183028476241
"GSE119409","cor_NK cells_vs_ssGSEA",109,0.966830153192234,NA
"GSE119409","cor_Cytotoxic lymphocytes_vs_ssGSEA",109,0.972436302881265,NA
"GSE133057","NK cells",100,-0.101970674130304,0.356497947956211
"GSE133057","Cytotoxic lymphocytes",100,-0.113457666494054,0.356553923246587
"GSE133057","cor_NK cells_vs_ssGSEA",100,0.90274064171123,NA
"GSE133057","cor_Cytotoxic lymphocytes_vs_ssGSEA",100,0.980949197860963,NA
"GSE53781","NK cells",70,0.022175747228685,0.403125594670496
"GSE53781","Cytotoxic lymphocytes",70,-0.231060393668962,0.404490134447122
"GSE53781","cor_NK cells_vs_ssGSEA",70,0.909059829059829,NA
"GSE53781","cor_Cytotoxic lymphocytes_vs_ssGSEA",70,0.569230769230769,NA
"GSE94104","NK cells",99,0.138151036756072,0.35446153145188
"GSE94104","Cytotoxic lymphocytes",99,0.0131979857947713,0.354110352096266
"GSE94104","cor_NK cells_vs_ssGSEA",99,0.951594746716698,NA
"GSE94104","cor_Cytotoxic lymphocytes_vs_ssGSEA",99,0.914258911819887,NA
