"feature","omitted","k","g","lo","hi","p","I2","tau2","method"
"IFN","GSE209746",8,0.405696401981511,0.142818547251095,0.668574256711928,0.00818554451119111,10.9343781483003,0,"REML + modified Hartung-Knapp"
"IFN","GSE35452",8,0.400480464993277,0.147554057713508,0.653406872273045,0.00722365880833758,10.8459555931344,0,"REML + modified Hartung-Knapp"
"IFN","GSE87211",8,0.349743479516,0.0729325490565342,0.626554409975465,0.02029399421017,9.87787968376914,0,"REML + modified Hartung-Knapp"
"IFN","GSE150082",8,0.33539906861109,0.100094810005282,0.570703327216898,0.0119121927582401,0,0,"REML + modified Hartung-Knapp"
"IFN","GSE45404",8,0.382538279908033,0.126855811073165,0.638220748742902,0.00949756196897774,13.8078493176665,0,"REML + modified Hartung-Knapp"
"IFN","GSE119409",8,0.345711815377657,0.108100135645869,0.583323495109445,0.0108313583663065,0,0,"REML + modified Hartung-Knapp"
"IFN","GSE133057",8,0.425776994385799,0.19116103600068,0.660392952770919,0.00360501696062629,0,0,"REML + modified Hartung-Knapp"
"IFN","GSE53781",8,0.40235326695864,0.161984110491683,0.642722423425597,0.00547469235537766,6.29961015596324,0,"REML + modified Hartung-Knapp"
"IFN","GSE94104",8,0.398512031382019,0.15060934669129,0.646414716072748,0.00670416937180995,10.3508238039605,0,"REML + modified Hartung-Knapp"
"IFN","(none, full model)",9,0.383520353651015,0.161401910797098,0.605638796504932,0.00405229356605646,1.50713787812351,0,"REML + modified Hartung-Knapp"
"NK","GSE209746",8,0.238332312090761,-0.0456432703279517,0.522307894509474,0.0875910878518478,8.68051543558181,0.0231801201790836,"REML + modified Hartung-Knapp"
"NK","GSE35452",8,0.2457496415587,-0.0225312584097425,0.514030541527142,0.0670082647807361,7.13873005100981,0.0179447467970356,"REML + modified Hartung-Knapp"
"NK","GSE87211",8,0.14509090321108,-0.115621999935054,0.405803806357214,0.229645835351823,0,0,"REML + modified Hartung-Knapp"
"NK","GSE150082",8,0.187592733463584,-0.0658076602177581,0.440993127144925,0.123496543002945,0,0.0106652327681298,"REML + modified Hartung-Knapp"
"NK","GSE45404",8,0.261260757847455,0.00289348982883997,0.51962802586607,0.0480905730240954,0.124896627113458,0.012499912088337,"REML + modified Hartung-Knapp"
"NK","GSE119409",8,0.28303449821432,0.038008577571161,0.528060418857479,0.0292783219951644,0,0.00434595735589684,"REML + modified Hartung-Knapp"
"NK","GSE133057",8,0.251607313477922,-0.00657477759204667,0.509789404547891,0.0546351124488358,4.26088141148563,0.0142983407876971,"REML + modified Hartung-Knapp"
"NK","GSE53781",8,0.23578938887084,-0.0239322897776746,0.495511067519356,0.0689453436672825,9.63906778100239,0.016683466294496,"REML + modified Hartung-Knapp"
"NK","GSE94104",8,0.232467600682091,-0.0322220641088368,0.497157265473019,0.0764492729134299,9.99574658360381,0.0184111793866388,"REML + modified Hartung-Knapp"
"NK","(none, full model)",9,0.233936704691574,-0.00493163727099302,0.472805046654141,0.0538571174511573,0,0.0123014706125746,"REML + modified Hartung-Knapp"
"Cyto","GSE209746",8,0.28442154976152,0.0274124294694787,0.541430670053561,0.0345680042709716,0,0.00584570669685226,"REML + modified Hartung-Knapp"
"Cyto","GSE35452",8,0.290113097934125,0.0486877058563553,0.531538490011895,0.0249911056814326,0,0.00211309764623446,"REML + modified Hartung-Knapp"
"Cyto","GSE87211",8,0.167325245265689,-0.0931907908406189,0.427841281371996,0.172618402208928,0,0,"REML + modified Hartung-Knapp"
"Cyto","GSE150082",8,0.242030622747124,-0.00773366074873022,0.491794906242978,0.0556919638731412,0,0.00827893968637605,"REML + modified Hartung-Knapp"
"Cyto","GSE45404",8,0.236534603377843,-0.0143754852505486,0.487444692006234,0.0610476613095558,0,0.00831568864289307,"REML + modified Hartung-Knapp"
"Cyto","GSE119409",8,0.255574094574042,0.00288259662656765,0.508265592521517,0.0480557505489764,0,0.00881390809378328,"REML + modified Hartung-Knapp"
"Cyto","GSE133057",8,0.287621593571786,0.0513772958337516,0.52386589130982,0.023689742277809,0,0.0016036968232118,"REML + modified Hartung-Knapp"
"Cyto","GSE53781",8,0.295053306104804,0.0638135703382113,0.526293041871397,0.0194638814644523,0,0,"REML + modified Hartung-Knapp"
"Cyto","GSE94104",8,0.276239691858804,0.0350615807679899,0.517417802949619,0.0302696449173353,0,0.00423815116904377,"REML + modified Hartung-Knapp"
"Cyto","(none, full model)",9,0.263564709047989,0.0396420018446077,0.487487416251369,0.0264834814602202,0,0.00279176349101963,"REML + modified Hartung-Knapp"
