"section","cohort","population","outcome","model","focal_term","effect_measure","estimate","ci_lo","ci_hi","p_value","n","events","adjustment","note","source"
"MSI sensitivity","GSE209746","Tumors with nonmissing MSI status","Good response","Fisher exact test","MSI vs MSS","Odds ratio",3.97011208834922,0.426507940494645,50.367847175418,0.142532066745685,90,26,"None","Three tumors with missing MSI status were excluded.","GSE209746_MSI_sensitivity.csv"
"MSI sensitivity","GSE209746","All response-labelled tumors","IFN score","Standardized mean difference","Good vs poor response","Hedges g",0.275,-0.179620537401496,0.729620537401496,0.266,93,26,"None","Positive g indicates higher IFN score in responders.","GSE209746_MSI_sensitivity.csv"
"MSI sensitivity","GSE209746","MSS-only tumors","IFN score","Standardized mean difference","Good vs poor response","Hedges g",0.349,-0.132453629813444,0.830453629813444,0.199,85,23,"MSS-only restriction","MSI and MSI-missing tumors were excluded.","GSE209746_MSI_sensitivity.csv"
"Stromal adjustment","GSE150082","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.88930863821647,0.309650566264261,1.46896671016868,0.00472228230232696,39,16,"None","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE150082","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.881876653410468,0.29271729024909,1.47103601657185,0.00587507966088096,39,16,"Fibroblast and endothelial ssGSEA scores","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE150082","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",3.22751717733513,1.28372428557669,8.11456731560838,0.0127405957786174,39,16,"None","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE150082","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",3.38786872422047,1.29038635518693,8.89474260667345,0.0132260316904618,39,16,"Fibroblast and endothelial ssGSEA scores","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE209746","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.276758123802338,-0.175020491885109,0.728536739489784,0.232996242075412,93,26,"None","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE209746","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.146763195043573,-0.283803439553078,0.577329829640224,0.505814925245641,93,26,"Fibroblast and endothelial ssGSEA scores","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE209746","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",1.31894694249846,0.837411065838416,2.07738004439234,0.232322154669854,93,26,"None","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE209746","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",1.17686269236601,0.71990497738841,1.92387306684189,0.516064182689064,93,26,"Fibroblast and endothelial ssGSEA scores","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE35452","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.242627358908319,-0.338009547689275,0.823264265505914,0.41720114303454,46,24,"None","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE35452","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.22078927307122,-0.318593778459358,0.760172324601799,0.426904469014708,46,24,"Fibroblast and endothelial ssGSEA scores","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE35452","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",1.28510761542287,0.708361945599707,2.33143747130526,0.409145653129631,46,24,"None","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE35452","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",1.33739708977026,0.66472963163653,2.69076462158374,0.415035948619096,46,24,"Fibroblast and endothelial ssGSEA scores","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE87211","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.474726903872008,0.115430587018232,0.834023220725783,0.010314121594611,202,35,"None","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE87211","Pretreatment tumors with response labels","IFN score (z)","Linear regression","Response (good vs poor)","Beta",0.491171802084958,0.152482059851986,0.829861544317931,0.0049471805518463,202,35,"Fibroblast and endothelial ssGSEA scores","Positive beta indicates higher IFN score in responders.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE87211","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",1.60451502983787,1.10907735589789,2.32127043914928,0.0120927990229534,202,35,"None","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
"Stromal adjustment","GSE87211","Pretreatment tumors with response labels","Good response","Logistic regression","IFN score (per SD)","Odds ratio",1.68967080551767,1.1353616822826,2.51460611677409,0.00971543615013395,202,35,"Fibroblast and endothelial ssGSEA scores","OR above 1 indicates greater odds of good response.","tumor_purity_adjust_models.csv"
