"cohort","endpoint","population","model","predictor","effect_measure","estimate","ci_lo","ci_hi","p_value","n","events","adjustment","note","source"
"GSE87211","DFS","pCR tumors","Cox model not estimated","IFN score","Hazard ratio per SD",,,,,32,0,"None","Not estimated because no DFS events occurred in pCR tumors.","GSE87211_survival_models.csv"
"GSE87211","DFS","Pretreatment nCRT tumors with follow-up","Likelihood-ratio test","IFN natural spline vs linear term","P value only",,,,0.436531552971291,175,34,"None","Tests non-linearity using a 3-df natural spline.","GSE87211_survival_models.csv"
"GSE87211","DFS","Pretreatment nCRT tumors with follow-up","Multivariable Cox","Cytotoxic score","Hazard ratio per SD",0.898389207192934,0.622444939351345,1.29666596444954,0.567101436844439,175,34,"ypT (ordinal) and ypN (positive vs N0)","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"GSE87211","DFS","Pretreatment nCRT tumors with follow-up","Multivariable Cox","NK score","Hazard ratio per SD",1.15675854263431,0.808087871836722,1.6558723037336,0.426221299045745,175,34,"ypT (ordinal) and ypN (positive vs N0)","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"GSE87211","DFS","Pretreatment nCRT tumors with follow-up","Multivariable Cox A","IFN score","Hazard ratio per SD",1.04923039442315,0.716808056629797,1.53581479783774,0.804741969686664,175,34,"ypT (ordinal) and ypN (positive vs N0)","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"GSE87211","DFS","Pretreatment nCRT tumors with follow-up","Multivariable Cox B","IFN score","Hazard ratio per SD",1.04127988256347,0.71014315850733,1.52682424781849,0.835898231497961,175,34,"ypT, ypN, age, and sex","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"GSE87211","DFS","Pretreatment nCRT tumors with follow-up","Univariable Cox","IFN score","Hazard ratio per SD",0.893009760878552,0.636887446350295,1.252130871152,0.511721041371253,175,34,"None","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"GSE87211","DFS","Non-pCR tumors","pCR-stratified univariable Cox","IFN score","Hazard ratio per SD",1.00793424565001,0.689280452799531,1.47390142782641,0.96748668036229,143,34,"None","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"GSE87211","OS","Pretreatment nCRT tumors with follow-up","Multivariable Cox","IFN score","Hazard ratio per SD",0.935952777367478,0.558235720157752,1.56924318854828,0.801787472471365,175,21,"ypT (ordinal) and ypN (positive vs N0)","HR below 1 indicates lower event hazard.","GSE87211_survival_models.csv"
"TCGA-READ","OS","Primary tumors without documented neoadjuvant treatment","Multivariable Cox","IFN score","Hazard ratio per SD",0.93314958713986,0.595520963154843,1.46219563349423,0.762698730525553,149,22,"AJCC stage (ordinal)","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","OS","Primary tumors without documented neoadjuvant treatment","Univariable Cox","Cytotoxic score","Hazard ratio per SD",0.899441209627382,0.603995986833887,1.33940374971144,0.601921282497002,158,25,"None","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","OS","Primary tumors without documented neoadjuvant treatment","Univariable Cox","IFN score","Hazard ratio per SD",0.921967842327669,0.613478829410961,1.38558115053864,0.695874189616387,158,25,"None","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","OS","Primary tumors without documented neoadjuvant treatment","Univariable Cox","NK score","Hazard ratio per SD",0.70137771910523,0.471203086248357,1.04398871572325,0.080491728756715,158,25,"None","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","PFI","Primary tumors without documented neoadjuvant treatment","Multivariable Cox","IFN score","Hazard ratio per SD",0.858718449372886,0.607400461507427,1.21402175668969,0.388591541801525,148,34,"AJCC stage (ordinal)","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","PFI","Primary tumors without documented neoadjuvant treatment","Univariable Cox","Cytotoxic score","Hazard ratio per SD",0.807900866475019,0.577804210442523,1.1296279920688,0.212297128320344,157,35,"None","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","PFI","Primary tumors without documented neoadjuvant treatment","Univariable Cox","IFN score","Hazard ratio per SD",0.897416530793038,0.639813928854747,1.25873538136655,0.530666709834329,157,35,"None","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
"TCGA-READ","PFI","Primary tumors without documented neoadjuvant treatment","Univariable Cox","NK score","Hazard ratio per SD",0.698621971859143,0.50451567212933,0.967408321538212,0.0308134183248697,157,35,"None","Treatment-naive prognostic context; not an nCRT validation cohort.","TCGA_READ_survival_models.csv"
